,date,film,rating,liked,rewatch
0,2020-01-08,Hail Satan?,3.5,False,False
1,2020-01-11,1917,5.0,False,False
2,2020-01-22,WHAT DID JACK DO?,2.0,False,False
3,2020-01-23,Little Women,4.0,False,False
4,2020-01-31,Uncut Gems,4.5,False,False
5,2020-02-06,Queen & Slim,3.5,False,False
6,2020-02-09,The Personal History of David Copperfield,4.5,True,False
7,2020-02-11,Jojo Rabbit,4.0,False,False
8,2020-02-13,The Lighthouse,3.5,False,False
9,2020-02-15,Spirited Away,3.5,False,False
10,2020-02-15,Howl's Moving Castle,4.0,True,True
11,2020-02-18,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),3.5,False,False
12,2020-02-19,Parasite,5.0,True,False
13,2020-02-22,We Have Always Lived in the Castle,3.0,False,False
14,2020-02-23,The Da Vinci Code,4.5,False,True
15,2020-03-01,Midsommar,4.0,True,False
16,2020-03-01,Good Time,4.0,False,False
17,2020-03-02,You Were Never Really Here,3.5,False,False
18,2020-03-03,At Eternity's Gate,4.0,False,False
19,2020-03-07,Maniac,3.0,False,False
20,2020-03-08,I Don't Feel at Home in This World Anymore,4.0,False,False
21,2020-03-13,The Ritual,2.5,False,False
22,2020-03-13,Portrait of a Lady on Fire,5.0,True,False
23,2020-03-14,Hereditary,3.0,False,False
24,2020-03-14,Midsommar,4.5,True,True
25,2020-03-15,The Witch,3.5,False,False
26,2020-03-15,Guns Akimbo,2.5,False,False
27,2020-03-16,All the Bright Places,3.5,False,False
28,2020-03-19,Girl on the Third Floor,2.0,False,False
29,2020-03-19,Ocean's Twelve,4.0,True,True
30,2020-03-19,Skyscraper,2.5,False,False
31,2020-03-21,To the Bone,3.5,False,False
32,2020-03-22,I Am the Pretty Thing That Lives in the House,1.0,False,False
33,2020-03-23,The Platform,3.5,False,False
34,2020-03-23,In the Shadow of the Moon,3.5,False,False
35,2020-03-24,What Keeps You Alive,1.0,False,False
36,2020-03-27,Wounds,2.5,False,False
37,2020-03-27,The Miseducation of Cameron Post,4.5,True,False
38,2020-03-27,Truth or Dare,3.5,False,False
39,2020-03-28,Advantageous,2.0,False,False
40,2020-03-29,mother!,2.5,False,False
41,2020-03-29,Margarita with a Straw,3.0,False,False
42,2020-03-30,Wild,4.0,False,False
43,2020-04-04,OtherLife,2.5,False,False
44,2020-04-05,Inferno,4.0,False,False
45,2020-04-05,I Origins,3.0,False,False
46,2020-04-15,Kill Bill: Vol. 1,4.5,False,False
47,2020-04-16,The Discovery,3.0,False,False
48,2020-04-18,Harry Potter and the Philosopher's Stone,5.0,False,True
49,2020-04-18,Over the Hedge,4.0,False,False
50,2020-04-22,Wonder,4.0,False,False
51,2020-04-25,The Lion King,2.0,False,False
52,2020-04-25,The Shawshank Redemption,5.0,False,True
53,2020-04-26,mid90s,4.0,False,False
54,2020-04-27,Time Trap,3.5,False,False
55,2020-04-27,Nothing Really Happens,2.0,False,False
56,2020-04-28,41,3.0,False,False
57,2020-04-29,A Promise of Time Travel,2.0,False,False
58,2020-04-29,Einstein's God Model,1.5,False,False
59,2020-04-29,Safety Not Guaranteed,3.5,False,False
60,2020-04-30,Primer,3.5,False,False
61,2020-04-30,Twelve Monkeys,4.0,False,False
62,2020-05-01,Color Out of Space,4.5,True,False
63,2020-05-01,Mandy,3.0,False,False
64,2020-05-02,Radioactive,3.0,False,False
65,2020-05-02,Contagion,4.0,False,False
66,2020-05-03,Little Joe,2.5,False,False
67,2020-05-03,Under the Silver Lake,4.5,True,False
68,2020-05-03,"Don't Worry, He Won't Get Far on Foot",4.0,False,False
69,2020-05-04,Vivarium,1.5,False,False
70,2020-05-05,Bad Times at the El Royale,4.5,True,False
71,2020-05-05,What We Do in the Shadows,3.0,False,False
72,2020-05-06,Charlie Says,2.5,False,False
73,2020-05-06,Doctor Sleep,4.0,False,False
74,2020-05-07,Twister,3.5,False,True
75,2020-05-07,Official Secrets,4.0,False,False
76,2020-05-08,Knives Out,4.5,False,False
77,2020-05-08,Hunt for the Wilderpeople,4.0,True,False
78,2020-05-08,The Death of Dick Long,3.0,False,False
79,2020-05-09,Tau,2.0,False,False
80,2020-05-10,Shimmer Lake,2.5,False,False
81,2020-05-11,Into the Forest,3.5,False,False
82,2020-05-12,The Blackcoat's Daughter,3.0,False,False
83,2020-05-13,It Comes at Night,2.5,False,False
84,2020-05-14,How to Talk to Girls at Parties,3.0,False,False
85,2020-05-15,The Rock,4.0,False,False
86,2020-05-16,Eighth Grade,3.5,False,False
87,2020-05-18,The Silence of the Lambs,4.5,False,False
88,2020-05-19,Hannibal,3.5,False,False
89,2020-05-19,Red Dragon,3.5,False,False
90,2020-05-20,Gladiator,4.0,False,True
91,2020-05-21,Last Moment of Clarity,1.5,False,False
92,2020-05-22,Come to Daddy,3.0,False,False
93,2020-05-22,2036 Origin Unknown,2.5,False,False
94,2020-05-23,Replicas,3.5,False,False
95,2020-05-24,White Chamber,2.5,False,False
96,2020-05-25,I Think We're Alone Now,3.5,False,False
97,2020-05-25,Kill Bill: Vol. 1,4.5,False,True
98,2020-05-26,Blade Runner,4.0,False,False
99,2020-05-27,Annihilation,2.0,False,False
100,2020-05-28,Kill Bill: Vol. 2,5.0,False,False
101,2020-05-29,Outbreak,3.0,False,False
102,2020-05-30,Brexit: The Uncivil War,3.5,False,False
103,2020-05-31,The Man Who Killed Hitler and Then the Bigfoot,2.5,False,False
104,2020-06-01,Girl,5.0,True,False
105,2020-06-01,The Endless,2.0,False,False
106,2020-06-02,Sanctum,3.0,False,False
107,2020-06-03,Sinister,2.5,False,False
108,2020-06-04,The Invitation,3.0,False,False
109,2020-06-05,The Oxford Murders,3.5,False,False
110,2020-06-05,Await Further Instructions,3.5,False,False
111,2020-06-05,13th,5.0,False,False
112,2020-06-06,You've Got Mail,3.5,False,False
113,2020-06-06,Ocean's Thirteen,5.0,True,True
114,2020-06-07,The Social Network,5.0,True,True
115,2020-06-08,Would You Rather,3.5,False,False
116,2020-06-09,The Perfection,1.0,False,False
117,2020-06-09,"Happy Birthday, Marsha!",4.0,False,False
118,2020-06-09,The First Purge,3.0,False,False
119,2020-06-10,Harry Potter and the Prisoner of Azkaban,5.0,False,False
120,2020-06-10,The Vast of Night,2.0,False,False
121,2020-06-11,Your Name.,5.0,True,False
122,2020-06-12,Blue Ruin,3.5,False,False
123,2020-06-12,Duck Butter,3.0,False,False
